author,titles,subjects,years
" 
Jared Coleman| 
Evangelos Kranakis| 
Danny Krizanc| 
Oscar Morales Ponce", Delivery to Safety with Two Cooperating Robots," Distributed, Parallel, and Cluster Computing (cs.DC)",2022
" 
Mohak Chadha| 
Victor Pacyna| 
Anshul Jindal| 
Jianfeng Gu| 
Michael Gerndt", Migrating from Microservices to Serverless: An IoT Platform Case Study," Distributed, Parallel, and Cluster Computing (cs.DC); Performance (cs.PF); Software Engineering (cs.SE)",2022
" 
Minghui Liwang| 
Seyyedali Hosseinalipour| 
Zhibin Gao| 
Zhipeng Cheng| 
Yuhan Su| 
Xianbin Wang", Seamless Service Provisioning for Mobile Crowdsensing: Towards  Integrating Forward and Spot Trading Markets," Distributed, Parallel, and Cluster Computing (cs.DC)",2022
" 
Osman B. Guney| 
Suayb S. Arslan", Fault-Tolerant Strassen-Like Matrix Multiplication," Distributed, Parallel, and Cluster Computing (cs.DC)",2022
" 
Alim Ul Gias| 
Yicheng Gao| 
Matthew Sheldon| 
José A. Perusquía| 
Owen O'Brien| 
Giuliano Casale", SampleHST: Efficient On-the-Fly Selection of Distributed Traces," Distributed, Parallel, and Cluster Computing (cs.DC); Systems and Control (eess.SY)",2022
" 
Carl-Johannes Johnsen| 
Tiziano De Matteis| 
Tal Ben-Nun| 
Johannes de Fine Licht| 
Torsten Hoefler", Temporal Vectorization: A Compiler Approach to Automatic Multi-Pumping," Distributed, Parallel, and Cluster Computing (cs.DC); Performance (cs.PF)",2022
" 
Pourya Soltani| 
Farid Ashtiani", Technical Report: Analytical Modeling and Throughput Computation of  Blockchain Sharding," Distributed, Parallel, and Cluster Computing (cs.DC)",2022
" 
Gergely Dániel Németh| 
Miguel Ángel Lozano| 
Novi Quadrianto| 
Nuria Oliver", A Snapshot of the Frontiers of Client Selection in Federated Learning," Distributed, Parallel, and Cluster Computing (cs.DC); Artificial Intelligence (cs.AI); Cryptography and Security (cs.CR); Machine Learning (cs.LG)",2022
" 
Chao Wu| 
Cheng Ji| 
Geng Yuan| 
Riwei Pan| 
Weichao Guo| 
Chao Yu| 
Zongwei Zhu| 
Yanzhi Wang", DeltaFS: Pursuing Zero Update Overhead via Metadata-Enabled Delta  Compression for Log-structured File System on Mobile Devices," Distributed, Parallel, and Cluster Computing (cs.DC)",2022
" 
Didier El Baz (LAAS-SARA)", On Parallel or Distributed Asynchronous Iterations with Unbounded Delays  and Possible Out of Order Messages or Flexible Communication for Convex  Optimization Problems and Machine Learning," Distributed, Parallel, and Cluster Computing (cs.DC); Machine Learning (cs.LG); Neural and Evolutionary Computing (cs.NE)",2022
" 
Jared Coleman| 
Evangelos Kranakis| 
Danny Krizanc| 
Oscar Morales Ponce", Delivery to Safety with Two Cooperating Robots," Distributed, Parallel, and Cluster Computing (cs.DC)",2022
" 
Mohak Chadha| 
Victor Pacyna| 
Anshul Jindal| 
Jianfeng Gu| 
Michael Gerndt", Migrating from Microservices to Serverless: An IoT Platform Case Study," Distributed, Parallel, and Cluster Computing (cs.DC); Performance (cs.PF); Software Engineering (cs.SE)",2022
" 
Minghui Liwang| 
Seyyedali Hosseinalipour| 
Zhibin Gao| 
Zhipeng Cheng| 
Yuhan Su| 
Xianbin Wang", Seamless Service Provisioning for Mobile Crowdsensing: Towards  Integrating Forward and Spot Trading Markets," Distributed, Parallel, and Cluster Computing (cs.DC)",2022
" 
Osman B. Guney| 
Suayb S. Arslan", Fault-Tolerant Strassen-Like Matrix Multiplication," Distributed, Parallel, and Cluster Computing (cs.DC)",2022
" 
Alim Ul Gias| 
Yicheng Gao| 
Matthew Sheldon| 
José A. Perusquía| 
Owen O'Brien| 
Giuliano Casale", SampleHST: Efficient On-the-Fly Selection of Distributed Traces," Distributed, Parallel, and Cluster Computing (cs.DC); Systems and Control (eess.SY)",2022
