author,titles,subjects,years
" 
François Le Gall| 
Masayuki Miyamoto| 
Harumichi Nishimura", Distributed Merlin-Arthur Synthesis of Quantum States and Its  Applications," Quantum Physics (quant-ph); Distributed, Parallel, and Cluster Computing (cs.DC)",2022
" 
Mohammad Taha Toghani| 
Soomin Lee| 
César A. Uribe", PersA-FL: Personalized Asynchronous Federated Learning," Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Distributed, Parallel, and Cluster Computing (cs.DC); Optimization and Control (math.OC); Machine Learning (stat.ML)",2022
" 
Mohammad Taha Toghani| 
César A. Uribe", Unbounded Gradients in Federated Leaning with Buffered Asynchronous  Aggregation," Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Distributed, Parallel, and Cluster Computing (cs.DC); Optimization and Control (math.OC); Machine Learning (stat.ML)",2022
,,,2022
,,,2022
,,,2022
,,,2022
,,,2022
,,,2022
,,,2022
" 
Nick Brown| 
Brandon Echols| 
Justs Zarins| 
Tobias Grosser", TensorFlow as a DSL for stencil-based computation on the Cerebras Wafer  Scale Engine," Distributed, Parallel, and Cluster Computing (cs.DC); Performance (cs.PF)",2022
" 
Didier El Baz (LAAS-SARA)", On Parallel or Distributed Asynchronous Iterations with Unbounded Delays  and Possible Out of Order Messages or Flexible Communication for Convex  Optimization Problems and Machine Learning," Distributed, Parallel, and Cluster Computing (cs.DC); Machine Learning (cs.LG); Neural and Evolutionary Computing (cs.NE)",2022
" 
Chao Wu| 
Cheng Ji| 
Geng Yuan| 
Riwei Pan| 
Weichao Guo| 
Chao Yu| 
Zongwei Zhu| 
Yanzhi Wang", DeltaFS: Pursuing Zero Update Overhead via Metadata-Enabled Delta  Compression for Log-structured File System on Mobile Devices," Distributed, Parallel, and Cluster Computing (cs.DC)",2022
" 
Gergely Dániel Németh| 
Miguel Ángel Lozano| 
Novi Quadrianto| 
Nuria Oliver", A Snapshot of the Frontiers of Client Selection in Federated Learning," Distributed, Parallel, and Cluster Computing (cs.DC); Artificial Intelligence (cs.AI); Cryptography and Security (cs.CR); Machine Learning (cs.LG)",2022
